Frequency               	V(Vo)                   	V(Vx)                                    
309999.99999999115243554 	4.245036683482934034e-14 	0.0004135546115599992071 
313333.333333324349951   	1.324430058780339094e-15 	1.812869489727818045e-16 
316666.66666665760567412 	7.505169529681484512e-15 	0.0003666940012216144806 
319999.99999999086139724 	1.109717007841984023e-14 	0.0007333880024433049637 
323333.33333332405891269 	7.032503689891161564e-15 	0.0003666940012216914047 
326666.66666665731463581 	1.187076164311402777e-14 	8.708601802694327372e-17 
329999.99999999057035893 	4.30749277747128472e-12  	0.000109871964966145054  
333333.33333332382608205 	8.596459759292388434e-12 	0.0002197439299324231937 
336666.66666665702359751 	4.298683907692115131e-12 	0.0001098719649662361676 
339999.99999999027932063 	2.548471605131416221e-15 	1.551060479323055054e-16 
343333.33333332353504375 	1.37210587561702136e-14  	9.313767607685484538e-05 
346666.6666666567325592  	2.59731274703264643e-14  	0.0001862753521537701621 
349999.99999998998828232 	1.170229646641867237e-14 	9.313767607673585419e-05 
353333.33333332324400544 	2.085433071532952659e-15 	7.504240578121214041e-17 
356666.6666666564415209  	2.364346366523000142e-14 	0.0001744297009978232446 
359999.99999998969724402 	4.876612427085969008e-14 	0.0003488594019957205945 
363333.33333332295296714 	2.383701718362910713e-14 	0.0001744297009980864347 
366666.66666665615048259 	1.333375715716568476e-15 	3.517792438801506178e-17 
369999.99999998940620571 	2.547607356489322766e-14 	0.0013073114462680375178 
373333.33333332266192883 	5.083235013181349747e-14 	0.0026146228925366253766 
376666.66666665591765195 	2.662653320953173868e-14 	0.0013073114462681648031 
379999.99999998911516741 	2.081096122652117372e-15 	8.401145433522992785e-17 
383333.33333332237089053 	1.096512225493188637e-14 	0.0003436130316472566924 
386666.66666665562661365 	1.884266966218127991e-14 	0.0006872260632947999395 
389999.9999999888241291  	9.03200651723101031e-15  	0.0003436130316467730841 
393333.33333332207985222 	5.224818244447128301e-15 	1.135675164568981912e-16 
396666.66666665533557534 	0.0006047634030469239844 	7.639431815104046563647  
399999.9999999885330908  	0.0012095268060975626623 	15.278863630208093127294 
403333.33333332178881392 	0.0006047634030515772717 	7.639431815104046563647  
406666.66666665504453704 	4.989075482981191575e-15 	3.554305922800752243e-16 
409999.99999998830026016 	6.982986450008463832e-15 	0.0003439384739006999449 
413333.33333332149777561 	1.660460837315915298e-14 	0.0006878769478022829726 
416666.66666665475349873 	8.620722873169775314e-15 	0.000343938473901023254  
419999.99999998800922185 	2.122341793604354546e-15 	1.521323681074270254e-16 
